X,Y
634,350
111,602
833,733
154,783
131,61
886,323
398,606
371,479
594,151
878,868
885,471
438,43
135,371
38,39
450,346
169,305
129,452
956,865
568,814
62,69
4,299
639,883
985,928
537,597
472,745
435,613
429,246
42,383
973,81
46,548
662,5
430,382
316,152
423,385
172,440
580,863
228,176
198,651
886,780
355,226
94,395
817,555
789,795
777,119
674,216
248,791
726,0
659,456
585,452
548,158
905,652
691,314
508,488
321,317
685,20
954,782
89,428
967,910
233,277
953,374
777,777
189,524
925,440
415,6
522,718
752,780
991,250
333,174
966,193
33,373
842,874
369,468
909,946
960,329
535,238
269,875
19,483
885,552
771,615
570,67
386,413
451,353
744,514
956,59
321,963
429,32
136,618
39,93
568,65
1000,396
707,88
561,971
461,228
453,528
519,702
705,164
788,79
997,265
333,319
789,236
